ap_1,ap_2,ap_3,ap_4,ap_5,ap_6,ap_7,ap_8,ap_9,ap_10,ap_11,ap_12,ap_13,ap_14,ap_15,ap_16,ap_17,ap_18,ap_19,ap_20,ap_21,ap_22,ap_23,ap_24,ap_25,ap_26,ap_27,ap_28,ap_29,ap_30,ap_31,ap_32,ap_33,ap_34,ap_35,ap_36,ap_37,ap_38,ap_39,ap_40,ap_41,ap_42,ap_43,ap_44,ap_45,ap_46,ap_47,ap_48,ap_49,ap_50,ap_51,ap_52,ap_53,ap_54,ap_55,ap_56,ap_57,ap_58,ap_59,ap_60,ap_61,ap_62,ap_63,ap_64,ap_65,ap_66,ap_67,ap_68,ap_69,ap_70,spot
,,-62.0,,,,,,,-61.0,,,,-66.0,,-40.0,-71.0,,-64.0,,,-57.0,,-59.0,-74.0,,,,,,,,,,-54.0,,,,,,,,,,,,-89.0,,,,,,,,,,,,,,,,,,,,,,,,Lab Komputer_L2
,,-50.0,,-75.0,,,,,,,-51.0,,-66.0,,-54.0,-66.0,,-57.0,,,-39.0,,-71.0,,,,,,,,,,,-38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lab Komputer_L2
-79.0,,,,,,,,,,,-46.0,,-76.0,,-60.0,-64.0,,-46.0,,,-29.0,,-74.0,,,,,,-77.0,,,,,-36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lab Komputer_L2
,-81.0,,,,,,,,,,,,-74.0,,-60.0,-63.0,,-46.0,,,-24.0,,-72.0,,,,,-86.0,-65.0,,,,,-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lab Komputer_L2
,-81.0,-64.0,,,,,,,,,-50.0,,-76.0,,-58.0,-72.0,,-49.0,,,-44.0,,-71.0,,,,,,,,,,,-52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lab Komputer_L2
-61.0,-78.0,-74.0,,,,,,,,,-59.0,,-80.0,,-54.0,-72.0,,-57.0,,,-38.0,,-74.0,,,,,,,,,,,-48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lab Komputer_L2
,,-53.0,,,,,,,-66.0,,-70.0,,-69.0,,,-71.0,,-64.0,,,-52.0,-86.0,-58.0,-78.0,,,,,,,,,,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lab Komputer_L2
,,-32.0,-77.0,-64.0,-73.0,-79.0,-89.0,,-68.0,,-51.0,-87.0,-34.0,,-58.0,-69.0,-79.0,-66.0,,,-67.0,,-71.0,,,,,,,,,,,-72.0,,,,,,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruang Developer_L2
,,-19.0,,-62.0,-67.0,-73.0,,,-77.0,,-54.0,,-37.0,,-58.0,-63.0,,-61.0,,,-61.0,,-78.0,,,,,,,,,,,-70.0,,,,,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruang Developer_L2
,,-27.0,,,,-78.0,,,-53.0,,-43.0,,-30.0,,-59.0,-67.0,-78.0,,,-65.0,-70.0,,-74.0,,,,,,,,,,,-75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruang Developer_L2
